NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
9216,72.5,97,1.5,0.2,0.8,25.0,10.6,,161.0,0.8,22.0,21.0,212.0,3.0,0.25,0.092,,1.0,136.0,0.12,0.09,0.9,0.49,0.176,30.0,0.0,30.0,30.0,,0.0,420.0,21.0,0.0,,,,,,0.25,,,,0.024,0.036,0.04,0.0,6.0,1 tbsp,2.0,1 tsp,orange peel
9226,88.06,43,0.47,0.26,0.39,10.82,1.7,7.82,20.0,0.25,21.0,10.0,182.0,8.0,0.08,0.045,0.04,0.6,60.9,0.023,0.027,0.357,0.191,0.038,37.0,0.0,37.0,37.0,6.1,0.0,950.0,47.0,0.0,2.0,274.0,589.0,1828.0,89.0,0.3,0.0,0.0,2.6,0.081,0.072,0.058,0.0,145.0,"1 cup, 1"" pieces",230.0,"1 cup, mashed",papayas
9231,72.93,97,2.2,0.7,0.8,23.38,10.4,11.2,12.0,1.6,29.0,68.0,348.0,28.0,0.1,0.086,,0.6,30.0,0.0,0.13,1.5,,0.1,14.0,0.0,14.0,14.0,7.6,0.0,1272.0,64.0,0.0,0.0,743.0,41.0,0.0,0.0,0.02,0.0,0.0,0.7,0.059,0.086,0.411,0.0,236.0,1 cup,18.0,"1 fruit, without refuse",passion-fruit purple
9232,85.62,51,0.39,0.05,0.34,13.6,0.2,13.4,4.0,0.24,17.0,13.0,278.0,6.0,0.05,0.053,,0.1,29.8,0.0,0.131,1.46,,0.05,7.0,0.0,7.0,7.0,4.0,0.0,717.0,36.0,0.0,0.0,419.0,23.0,0.0,0.0,0.01,0.0,0.0,0.4,0.004,0.006,0.029,0.0,247.0,1 cup,30.9,1 fl oz,passion-fruit juice purple
9236,88.87,39,0.91,0.25,0.43,9.54,1.5,8.39,6.0,0.25,9.0,20.0,190.0,0.0,0.17,0.068,0.061,0.1,6.6,0.024,0.031,0.806,0.153,0.025,4.0,0.0,4.0,4.0,6.1,0.0,326.0,16.0,0.0,0.0,162.0,67.0,0.0,91.0,0.73,0.0,0.0,2.6,0.019,0.067,0.086,0.0,154.0,"1 cup, slices",130.0,"1 small,  (2-1/2"" dia)",peaches yellow
9239,88.2,42,0.4,0.1,0.24,11.1,1.0,,5.0,0.3,5.0,11.0,74.0,5.0,0.09,0.05,0.047,,3.0,0.02,0.02,0.8,0.05,0.019,3.0,0.0,3.0,3.0,,0.0,270.0,14.0,0.0,,,,,,,0.0,0.0,,0.011,0.036,0.048,0.0,247.0,"1 cup, halves or slices",,,peaches cnd ex light syrup sol&liquids
9250,74.73,94,0.63,0.13,0.53,23.98,1.8,22.18,3.0,0.37,5.0,11.0,130.0,6.0,0.05,0.024,0.029,0.4,94.2,0.013,0.035,0.653,0.132,0.018,3.0,0.0,3.0,3.0,5.1,0.0,284.0,14.0,0.0,0.0,141.0,58.0,0.0,77.0,0.62,0.0,0.0,2.2,0.014,0.048,0.064,0.0,250.0,"1 cup, thawed",155.0,10 slices,peaches frozen sliced swtnd
9252,83.96,57,0.36,0.14,0.32,15.23,3.1,9.75,9.0,0.18,7.0,12.0,116.0,1.0,0.1,0.082,0.048,0.1,4.3,0.012,0.026,0.161,0.049,0.029,7.0,0.0,7.0,7.0,5.1,0.0,25.0,1.0,0.0,1.0,14.0,2.0,0.0,44.0,0.12,0.0,0.0,4.4,0.022,0.084,0.094,0.0,140.0,"1 cup, slices",161.0,"1 cup, cubes",pears
9266,86.0,50,0.54,0.12,0.22,13.12,1.4,9.85,13.0,0.29,12.0,8.0,109.0,1.0,0.12,0.11,0.927,0.1,47.8,0.079,0.032,0.5,0.213,0.112,18.0,0.0,18.0,18.0,5.5,0.0,58.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.02,0.0,0.0,0.7,0.009,0.013,0.04,0.0,165.0,"1 cup, chunks",905.0,1 fruit,pineapple all var
9272,77.1,86,0.4,0.1,0.2,22.2,1.1,21.1,9.0,0.4,10.0,4.0,100.0,2.0,0.11,0.099,1.062,0.1,8.0,0.1,0.03,0.3,0.105,0.075,11.0,0.0,11.0,11.0,4.9,0.0,30.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.02,0.0,0.0,0.7,0.007,0.012,0.035,0.0,245.0,"1 cup, chunks",,,pineapple frozen chunks swtnd
